tip_label,species,status,tip_order
Acacia_colletioides,Acacia_colletioides,exisiting species in the megatree,92
Acacia_aneura,Acacia_aneura,exisiting species in the megatree,93
Acacia_crassicarpa,Acacia_crassicarpa,exisiting species in the megatree,94
Acacia_melanoxylon,Acacia_melanoxylon,exisiting species in the megatree,95
Acacia_longifolia,Acacia_longifolia,exisiting species in the megatree,96
Acacia_dealbata,Acacia_dealbata,exisiting species in the megatree,97
Acacia_suaveolens,Acacia_suaveolens,exisiting species in the megatree,98
Vachellia_tortilis,Vachellia_tortilis,exisiting species in the megatree,99
Vachellia_gerrardii,Vachellia_gerrardii,exisiting species in the megatree,100
Vachellia_karroo,Vachellia_karroo,exisiting species in the megatree,101
Vachellia_nilotica,Vachellia_nilotica,exisiting species in the megatree,102
Vachellia_caven,Vachellia_caven,exisiting species in the megatree,103
Albizia_lebbeck,Albizia_lebbeck,exisiting species in the megatree,104
Vachellia_farnesiana,Vachellia_farnesiana,grafted at genus level,105
Inga_oerstediana,Inga_oerstediana,exisiting species in the megatree,106
Inga_spectabilis,Inga_spectabilis,exisiting species in the megatree,107
Inga_laurina,Inga_laurina,exisiting species in the megatree,108
Enterolobium_cyclocarpum,Enterolobium_cyclocarpum,exisiting species in the megatree,109
Albizia_julibrissin,Albizia_julibrissin,exisiting species in the megatree,110
Calliandra_eriophylla,Calliandra_eriophylla,exisiting species in the megatree,111
Senegalia_senegal,Senegalia_senegal,grafted at genus level,112
Leucaena_leucocephala,Leucaena_leucocephala,exisiting species in the megatree,113
Dichrostachys_cinerea,Dichrostachys_cinerea,exisiting species in the megatree,114
Desmanthus_illinoensis,Desmanthus_illinoensis,grafted at genus level,115
Acacia_terminalis,Acacia_terminalis,grafted at genus level,116
Erythrophleum_africanum,Erythrophleum_africanum,exisiting species in the megatree,117
Erythrophleum_suaveolens,Erythrophleum_suaveolens,exisiting species in the megatree,118
Peltophorum_africanum,Peltophorum_africanum,exisiting species in the megatree,119
Schizolobium_parahyba,Schizolobium_parahyba,exisiting species in the megatree,120
Libidibia_coriaria,Libidibia_coriaria,grafted at genus level,121
Cassia_fistula,Cassia_fistula,exisiting species in the megatree,122
Senna_bacillaris,Senna_bacillaris,grafted at genus level,123
Gleditsia_triacanthos,Gleditsia_triacanthos,exisiting species in the megatree,124
Apuleia_leiocarpa,Apuleia_leiocarpa,exisiting species in the megatree,125
Cercis_siliquastrum,Cercis_siliquastrum,exisiting species in the megatree,126
Cercis_canadensis,Cercis_canadensis,exisiting species in the megatree,127
Bauhinia_divaricata,Bauhinia_divaricata,grafted at genus level,128
Hymenaea_courbaril,Hymenaea_courbaril,exisiting species in the megatree,129
Tamarindus_indica,Tamarindus_indica,exisiting species in the megatree,130
Laburnum_anagyroides,Laburnum_anagyroides,grafted at family level,131
Laburnum_alpinum,Laburnum_alpinum,grafted at family level,132
Sulla_coronaria,Sulla_coronaria,grafted at family level,133
Cytisophyllum_sessilifolium,Cytisophyllum_sessilifolium,grafted at family level,134
Adinobotrys_atropurpureus,Adinobotrys_atropurpureus,grafted at family level,135
Biancaea_sappan,Biancaea_sappan,grafted at family level,136
Samanea_saman,Samanea_saman,grafted at family level,137
Polygala_myrtifolia,Polygala_myrtifolia,exisiting species in the megatree,138
Polygala_major,Polygala_major,grafted at genus level,139
Rosa_rubiginosa,Rosa_rubiginosa,exisiting species in the megatree,140
Rosa_micrantha,Rosa_micrantha,exisiting species in the megatree,141
Rosa_agrestis,Rosa_agrestis,exisiting species in the megatree,142
Rosa_marginata,Rosa_marginata,exisiting species in the megatree,143
Rosa_canina,Rosa_canina,exisiting species in the megatree,144
Rosa_gallica,Rosa_gallica,exisiting species in the megatree,145
Rosa_multiflora,Rosa_multiflora,exisiting species in the megatree,146
Rosa_pendulina,Rosa_pendulina,exisiting species in the megatree,147
Rosa_woodsii,Rosa_woodsii,exisiting species in the megatree,148
Rosa_dumalis,Rosa_dumalis,grafted at genus level,149
Rosa_inodora,Rosa_inodora,grafted at genus level,150
Fragaria_virginiana,Fragaria_virginiana,exisiting species in the megatree,151
Fragaria_viridis,Fragaria_viridis,exisiting species in the megatree,152
Fragaria_moschata,Fragaria_moschata,exisiting species in the megatree,153
Alchemilla_xanthochlora,Alchemilla_xanthochlora,exisiting species in the megatree,154
Alchemilla_mollis,Alchemilla_mollis,exisiting species in the megatree,155
Potentilla_hippiana,Potentilla_hippiana,exisiting species in the megatree,156
