taxon_name,taxon_authors,accepted_plant_name_id,keep,family,genus,species,Standardized_names,TPL_names,TPL_Author,TPL_names.withAuthor,invasion_status,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status,Checked_year,Provience_pinyin,Geo.region,Geo.region4,provinces,n.provinces,BG_codes
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1921,Beijing,North,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286154
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1923,Fujian,East,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,AU 015360
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1929,Shandong,East,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,N 110175038
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1930,Guizhou,Southwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286240; PE 01286238; PE 01286239
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1930,Jiangxi,East,Central,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286215
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1930,Zhejiang,East,East,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286206
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1931,Jilin,Northeast,Northeast,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286141
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1931,Sichuan,Southwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,CQNM 0011253; CQNM 0011252
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1931,Xinjiang,Northwest,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,PE 01286179
Abutilon theophrasti,Medik.,2611008,Matched to an accepted name,Malvaceae,Abutilon,theophrasti,Abutilon theophrasti,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,3,65.79119431,14.03667405,20.17213164,1,0,1,1,1,0,1,1,0,0,6,5,1,1934,Guangxi,South,West,Inner Mongolia; Henan; Hunan; Jiangsu; Anhui; Beijing; Fujian; Shandong; Jiangxi; Zhejiang; Guizhou; Xinjiang; Sichuan; Jilin; Shenxi; Guangxi; Guangdong; Tianjin; Hubei; Heilongjiang; Hebei; Yunnan; Liaoning; Gansu; Ningxia; Shanxi; Shanghai; Qinghai; Hainan; Chongqing,30,IBSC 0280764; IBSC 0280763
