TPL_names,Standardized_names,invasion_status,TPL_Author,TPL_names.withAuthor,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,min_record_year_cvh,...21,resolved_match_type,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,keep,c_score,s_score,r_score,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,wcup_eco_use_num_2out,wcup_eco_use_status
Anthoxanthum odoratum,Anthoxanthum odoratum,2,L.,Anthoxanthum odoratum L.,Exact (with author),FALSE,1,0,394021,Anthoxanthum odoratum,L.,Species,Accepted,NA,389034-1,394021,0,2,1910,NA,Exact (with author),389034-1,Species,Accepted,Poaceae,NA,Anthoxanthum,NA,odoratum,NA,NA,NA,L.,NA,Sp. Pl.,: 28,-1753,NA,"Macaronesia, Europe to Mongolia, NW. Africa",perennial,temperate,Anthoxanthum odoratum,L.,394021,NA,NA,NA,394025,389034-1,NA,Y,Matched to an accepted name,16.53599582,53.7825456,29.68145858,0,0,0,0,0,0,1,1,1,0,3,2,1
Anthriscus cerefolium,Anthriscus cerefolium,1,(L.) Hoffm.,Anthriscus cerefolium (L.) Hoffm.,Exact (with author),FALSE,1,0,2641808,Anthriscus cerefolium,(L.) Hoffm.,Species,Accepted,NA,837913-1,2641808,0,11,NA,NA,Exact (with author),837913-1,Species,Accepted,Apiaceae,NA,Anthriscus,NA,cerefolium,NA,NA,L.,Hoffm.,NA,Gen. Pl. Umbell.,: 41,-1814,NA,EC. Europe to NW. & N. Iran,annual or biennial,temperate,Anthriscus cerefolium,(L.) Hoffm.,2641808,2478754,NA,NA,2641791,837913-1,NA,N,Matched to an accepted name,25.20113359,0.720749336,74.07811707,0,0,0,0,1,0,0,1,0,0,2,2,1
Anthyllis barba-jovis,Anthyllis barba-jovis,1,L.,Anthyllis barba-jovis L.,Exact (with author),FALSE,1,0,2641921,Anthyllis barba-jovis,L.,Species,Accepted,NA,474645-1,2641921,0,2,NA,NA,Exact (with author),474645-1,Species,Accepted,Fabaceae,NA,Anthyllis,NA,barba-jovis,NA,NA,NA,L.,NA,Sp. Pl.,: 720,-1753,NA,W. & C. Medit.,shrub,subtropical,Anthyllis barba-jovis,L.,2641921,NA,NA,NA,2641894,474645-1,NA,Y,Matched to an accepted name,42.52905315,57.47094685,0,1,1,0,0,0,0,1,0,0,0,3,3,1
Anthyllis vulneraria,Anthyllis vulneraria,1,L.,Anthyllis vulneraria L.,Exact (with author),FALSE,1,0,2642105,Anthyllis vulneraria,L.,Species,Accepted,NA,474795-1,2642105,0,2,NA,NA,Exact (with author),474795-1,Species,Accepted,Fabaceae,NA,Anthyllis,NA,vulneraria,NA,NA,NA,L.,NA,Sp. Pl.,: 719,-1753,NA,"Europe to Iran, N. & NE. Trop. Africa",annual or perennial,temperate,Anthyllis vulneraria,L.,2642105,NA,NA,NA,2641894,474795-1,NA,Y,Matched to an accepted name,38.89140402,15.68373972,45.42485626,1,0,0,0,1,0,0,1,0,0,3,3,1
Antirrhinum majus,Antirrhinum majus,1,L.,Antirrhinum majus L.,Exact (with author),FALSE,1,0,2642724,Antirrhinum majus,L.,Species,Accepted,NA,799180-1,2642724,0,2,1914,NA,Exact (with author),799180-1,Species,Accepted,Plantaginaceae,NA,Antirrhinum,NA,majus,NA,NA,NA,L.,NA,Sp. Pl.,: 617,-1753,NA,"SC. France to Iberian Pen., Baleares",subshrub,temperate,Antirrhinum majus,L.,2642724,NA,NA,NA,2642458,799180-1,NA,N,Matched to an accepted name,34.10223189,0,65.89776811,0,1,0,1,0,0,0,1,0,0,3,2,1
Aphelandra sinclairiana,Aphelandra sinclairiana,1,Nees,Aphelandra sinclairiana Nees,Exact (with author),FALSE,1,0,2643711,Aphelandra sinclairiana,Nees,Species,Accepted,NA,45615-1,2643711,0,4,NA,NA,Exact (with author),45615-1,Species,Accepted,Acanthaceae,NA,Aphelandra,NA,sinclairiana,NA,NA,NA,Nees,G.Bentham,Bot. Voy. Sulphur,: 146,-1846,NA,C. America,shrub or tree,wet tropical,Aphelandra sinclairiana,Nees,2643711,NA,NA,NA,2643431,45615-1,NA,N,Matched to an accepted name,58.75138244,14.07278045,27.17583711,0,1,0,0,0,0,0,0,0,0,1,1,1
Apium graveolens,Apium graveolens,1,L.,Apium graveolens L.,Exact (with author),FALSE,1,0,2644053,Apium graveolens,L.,Species,Accepted,NA,838067-1,2644053,0,2,1914,NA,Exact (with author),838067-1,Species,Accepted,Apiaceae,NA,Apium,NA,graveolens,NA,NA,NA,L.,NA,Sp. Pl.,: 264,-1753,NA,"Macaronesia to N. Africa, Europe to W. Himalaya",biennial,temperate,Apium graveolens,L.,2644053,NA,NA,NA,2643985,838067-1,NA,N,Matched to an accepted name,72.47059516,0.335,27.19440484,1,0,0,1,1,0,1,1,1,0,6,4,1
Apocynum androsaemifolium,Apocynum androsaemifolium,1,L.,Apocynum androsaemifolium L.,Exact (with author),FALSE,1,0,12804,Apocynum androsaemifolium,L.,Species,Accepted,NA,16503-2,12804,0,2,1936,NA,Exact (with author),16503-2,Species,Accepted,Apocynaceae,NA,Apocynum,NA,androsaemifolium,NA,NA,NA,L.,NA,Sp. Pl.,: 213,-1753,NA,N. America,perennial,temperate,Apocynum androsaemifolium,L.,12804,NA,NA,NA,12795,16503-2,NA,Y,Matched to an accepted name,43.31208981,38.21929766,18.46861253,0,0,0,0,0,0,1,1,1,0,3,2,1
Apocynum cannabinum,Apocynum cannabinum,1,L.,Apocynum cannabinum L.,Exact (with author),FALSE,1,0,12828,Apocynum cannabinum,L.,Species,Accepted,NA,16527-2,12828,0,2,NA,NA,Exact (with author),16527-2,Species,Accepted,Apocynaceae,NA,Apocynum,NA,cannabinum,NA,NA,NA,L.,NA,Sp. Pl.,: 213,-1753,NA,Canada to U.S.A.,perennial,temperate,Apocynum cannabinum,L.,12828,NA,NA,NA,12795,16527-2,NA,Y,Matched to an accepted name,29.83320592,50.86950467,19.2972894,0,0,0,0,0,0,1,1,1,0,3,2,1
Apuleia leiocarpa,Apuleia leiocarpa,1,(Vogel) J.F.Macbr.,Apuleia leiocarpa (Vogel) J.F.Macbr.,Exact (with author),FALSE,1,0,2644500,Apuleia leiocarpa,(Vogel) J.F.Macbr.,Species,Accepted,NA,16766-2,2644500,0,18,NA,NA,Exact (with author),16766-2,Species,Accepted,Fabaceae,NA,Apuleia,NA,leiocarpa,NA,NA,Vogel,J.F.Macbr.,NA,Contr. Gray Herb.,59:23:00,-1919,NA,S. Trop. America to NE. Argentina,tree,seasonally dry tropical,Apuleia leiocarpa,(Vogel) J.F.Macbr.,2644500,2346016,NA,NA,2644498,16766-2,NA,Y,Matched to an accepted name,31.61,48.27,20.12,0,0,0,0,0,0,1,1,0,0,2,2,1
Aquilegia atrata,Aquilegia atrata,1,Koch,Aquilegia atrata Koch,Exact (without author),FALSE,1,0,2644602,Aquilegia atrata,W.D.J.Koch,Species,Accepted,NA,708802-1,2644602,6,4,NA,NA,Exact (without author),708802-1,Species,Accepted,Ranunculaceae,NA,Aquilegia,NA,atrata,NA,NA,NA,W.D.J.Koch,NA,Flora,13(1): 118,-1830,NA,"Alps, Appennini",perennial,temperate,Aquilegia atrata,W.D.J.Koch,2644602,NA,NA,NA,2644578,708802-1,NA,N,Matched to an accepted name,53.07024809,3.723711157,43.20604075,0,1,0,0,0,0,0,0,0,0,1,1,1
Aquilegia einseleana,Aquilegia einseleana,1,F.W.Schultz,Aquilegia einseleana F.W.Schultz,Exact (with author),FALSE,1,0,2644752,Aquilegia einseleana,F.W.Schultz,Species,Accepted,NA,708872-1,2644752,0,11,NA,NA,Exact (with author),708872-1,Species,Accepted,Ranunculaceae,NA,Aquilegia,NA,einseleana,NA,NA,NA,F.W.Schultz,NA,Arch. Fl. France Allemagne,: 135,-1848,NA,C. & E. Alps,perennial,temperate,Aquilegia einseleana,F.W.Schultz,2644752,NA,NA,NA,2644578,708872-1,NA,N,Matched to an accepted name,25.39483027,34.42591633,40.1792534,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquilegia vulgaris,Aquilegia vulgaris,1,L.,Aquilegia vulgaris L.,Exact (with author),FALSE,1,0,2645045,Aquilegia vulgaris,L.,Species,Accepted,NA,306409-2,2645045,0,2,1893,NA,Exact (with author),306409-2,Species,Accepted,Ranunculaceae,NA,Aquilegia,NA,vulgaris,NA,NA,NA,L.,NA,Sp. Pl.,: 533,-1753,NA,Europe,perennial,temperate,Aquilegia vulgaris,L.,2645045,NA,NA,NA,2644578,306409-2,NA,N,Matched to an accepted name,45.01308642,28.77717834,26.20973524,0,1,0,1,0,0,0,1,1,0,4,2,1
